year,q05f,q10f,q50f,q90f,q95f,q05m,q10m,q50m,q90m,q95m,q05t,q10t,q50t,q90t,q95t
2023,4030409938.87053,4032302783.94892,4046168469.51034,4057940287.00243,4060516571.10628,4096376136.64642,4097650242.71128,4111686216.5024,4125060497.21128,4128189221.1854,8126908727.80159,8129902144.56501,8158074420.56415,8182543067.33662,8187923220.542
2028,4193974590.05761,4200739619.361,4226378689.42808,4253273212.54485,4260972114.69483,4256192693.52207,4262217398.71338,4290213476.20505,4317251685.44863,4327654039.27053,8448796643.30929,8464193163.58391,8516551749.03096,8570456709.64061,8589642788.9858
2033,4346556789.97143,4352939032.96448,4396225537.86544,4432342509.48898,4445437808.07697,4403277236.73836,4408657559.24146,4454797168.51706,4493832799.00626,4510838101.42131,8750631845.1306,8760149914.07362,8849305589.77729,8922521147.67291,8956952009.06388
2038,4470513337.58978,4490765941.32807,4546429130.25443,4601918761.86513,4623623175.40437,4520644983.22157,4540590982.63264,4600992629.81112,4656255131.5478,4684531368.27716,8990390973.83867,9031651316.78862,9144492623.82895,9259511747.78025,9308480114.58997
2043,4589420249.60406,4609622362.93788,4681974392.10421,4744667078.54357,4783751148.79211,4636853114.77009,4658692201.3453,4733921654.27393,4806694731.12244,4842861672.90383,9226730440.84828,9267129670.01619,9411195203.53586,9548664783.6068,9627608494.36247
