country_code,year,q05in,q10in,q50in,q90in,q95in,q05out,q10out,q50out,q90out,q95out,q05net,q10net,q50net,q90net,q95net
807,2033,65177.75,73125,107625,167025.9,192885.4,32466,41834.5,85285.5,175215.6,199399.85,-96798.1,-70148.2,22422.5,97952.6,120067.7
818,2033,466295.6,511523.9,704740.5,1037603.4,1180703.5,359574.85,484213,1108793.5,2386691.9,2938654.25,-2198103.45,-1597218.3,-382983,307156.9,451029.2
826,2033,3536589.1,3690996.6,4495944.5,5603912.1,5974412.9,1026368.3,1286857.9,2291552,3884017.1,4651828.8,-216714.8,479605.2,2212018,3656493.2,4056368.8
830,2033,8086.4,9633.7,18412.5,42024.4,55524.65,5529.65,7044.8,12406,19973.3,22805.95,-8011.95,-4930.3,6124.5,29554.9,40734.75
834,2033,116430.3,132697.4,236273,485798.3,601411.45,100146.8,141564.1,535770.5,1987148.2,2772571.2,-2457526.3,-1768564.6,-276610,174564,266380.25
840,2033,12352543,12991025.9,15380687,18594607.1,20501659.6,3135998.2,3819737.4,7132051,13214280.3,17079368.35,-1234598.3,1708760.9,8105977.5,13088676.9,14907575.5
850,2033,3896.9,4484.4,7253,12819.1,15891.9,3612.25,4217.9,6939.5,10618,12150.7,-5588.4,-4263.5,538.5,6157.2,9471.19999999999
854,2033,225913.6,257511,501897,1034983.5,1352577.65,347592.15,401247.9,590834.5,979341.8,1184447.5,-655499.85,-530296.6,-92291.5,461085.2,744979.2
858,2033,55921.3,60874.5,95082.5,156487.3,182742.95,31456.2,39411,90950,226837.3,288183.35,-189577.1,-135850.8,4699,78806.8,99459.35
860,2033,221397.2,251135,383510,638863.6,784025.849999999,248875.15,295409.7,478115.5,853941.9,1073746.5,-671038.65,-482554.6,-84516.5,219597.4,337557.25
862,2033,340762.75,395523.5,630683,1097303,1240403.45,539919.05,815514.8,2041226.5,3415191.4,3725427.2,-3048004.25,-2771440,-1306444.5,-65718.7,193925.6
882,2033,5444.95,6244.8,11432.5,21705.3,25920.6,13363.3,15326.5,24145.5,32523.8,34632.3,-24669.05,-21977.9,-11762,380,4448.84999999999
887,2033,214669.45,244316.2,423213,804126.9,958519.099999999,158091.7,207642.2,546527.5,1339687.7,1800704.55,-1338493.25,-899920.1,-119713,372478.4,506711.549999999
894,2033,70898.45,80753.6,131329.5,242209,300927.5,35701.95,51671.3,174773,582044.9,799546.499999999,-641770.4,-452355.2,-41020,120149.1,169200.95
4,2038,521155.4,670920,1427272,3222782.9,3953047.8,236308.4,354156.8,1574566,4850009.3,5998059,-4377782.75,-3236506.3,-3223.5,1757210.2,2367974.25
8,2038,46149.45,53620.7,103828,208394.6,259796.45,46619.5,59408.6,129099,251798.4,282158.35,-186809.1,-152111.8,-22033,92507.7000000001,144544.95
12,2038,182690.35,204967.9,291905,430707.9,505577.95,156045.85,206272.7,445311,1071879.9,1471106.6,-1166755.15,-785123,-150670.5,119273.1,199013.9
24,2038,218443.3,262745.1,536377,1500521.1,2210245.35,84661.55,112605.9,232043.5,523469.2,708325.45,-221650.2,-76316,280806.5,1272940.4,1900684.9
28,2038,6950.7,7846.8,11912.5,18959.1,23012.25,4316.05,5388.2,10407.5,16081.4,17366.45,-5923.5,-4367.5,1924.5,9602.8,12901.9
31,2038,103262.3,117140.3,179876,302637.7,369965.65,57580.05,74177,163840.5,370943.1,485679.95,-304024.65,-192566.9,22664,165471.9,218973.7
32,2038,572542.75,640859,914413,1343690.4,1523716.9,302016.15,404003.8,751459.5,1368890.5,1794254.25,-783502.65,-500550.9,169354,680842.9,860056.1
36,2038,1988478.6,2082858,2628474.5,3592482.3,3927204.4,785469.35,927683.8,1541427.5,2330489.3,2747393.6,-226368.9,143153.9,1141502,2208778.9,2567442.05
40,2038,453688.15,485871.2,642107,914267.9,1011554.7,137495.8,180476.4,355050.5,684575.8,822243.85,-226123.2,-58787.3,273311,611725.1,719837.9
44,2038,16540.65,18424.7,29028.5,48511.1,58895.15,5279.25,6977.1,18771.5,43360.5,53923.35,-22609.55,-14058.3,10291,32747.4,41238.4
48,2038,165260.15,189358.9,312359,571641.1,698572.45,52067.65,70417.3,151404,311939.5,379438.25,-87118.3,-29239.2,155627,399185,552625.15
50,2038,915107.75,1037207.4,1689187,3073126.8,3813117.35,1051468.1,1383172.4,3123756.5,4879027.7,5212342.85,-3733270.5,-3210028.6,-1290869.5,940756.3,1508645.75
51,2038,77404.8,88128.4,140181.5,235786.8,271344,38595.85,50360.6,121203,254044.7,293610.4,-166886.4,-121536.2,23812.5,130512.1,168711.95
52,2038,9385.35,10654.5,18850,34343.5,42183.2,6396.95,7721.5,12877,21501.1,25661.45,-8780.65,-5548.5,5697,21006.7,29486.85
56,2038,607457.35,655443.1,833233.5,1152081.8,1258457,177885.9,228482.3,394873,670888.1,804384.7,1164.70000000002,122901.8,438008.5,795934.9,903865.6
64,2038,7197.55,9186.9,22242,62493.2,80407.4,2989.65,4700.3,18960.5,70004.3,88513.55,-67767.05,-47310,2827,42388.1,61778.15
68,2038,89026,101289.8,159225.5,275935.1,313926.75,116285.75,141527.4,275358.5,505284.1,616228.95,-457863.65,-357278.9,-109054,62665.7,112612.3
70,2038,94511.15,104203.4,149414,220438.2,252733.05,34363.05,49212.4,139411.5,268068.8,294493,-152366.7,-119878.8,10119,128713.2,157983.45
72,2038,36039.3,40610.2,73309,146722,181683.25,9316.15,13510,54351.5,183690.2,234059.95,-160848.55,-106810.2,18012.5,95779.9,130753.9
76,2038,422200.2,461627.9,610039.5,812401.6,922303.8,317809.4,396291,817333.5,1713351.2,2057786.2,-1425545.2,-1052710.3,-196169.5,236657.9,369074.75
84,2038,13066.3,14782,26011,49553.3,60072.95,4578.25,6640.5,18769.5,50907.9,61905.5,-35200.3,-23479.2,7067.5,32402.5,43250.25
90,2038,358.95,440,798.5,1909.3,2668,3385.8,4594.1,13733,36763.2,51716.75,-49834.6,-35201.8,-12782.5,-3530,-2177.5
96,2038,23950.95,27519.8,46953,93654.2,114379.65,11136.2,13401.6,25198.5,47278.1,56027.75,-14848.15,-6402.5,20907,68623.1,84895.85
100,2038,107618.35,120369.7,199026.5,390773.2,534263.75,62372.3,89252.6,212144,451981.6,527455.7,-329245.1,-241258.1,633,225568.2,339057.65
104,2038,107969.55,125310,259731.5,706757.8,1014113.8,291864,425292,1232867,3428676.2,4604054.2,-4235393.05,-3155625.3,-902319.5,-10867.3,201499.75
108,2038,73137.1,95637.1,246964,771528.4,1061843.6,44546.7,61409.8,238125,837806.6,1154402.65,-921797.8,-555509.4,22809.5,516378.2,873662.85
112,2038,230984.2,257816.8,383031.5,610806.1,704863.25,129849,157396.3,276235.5,474224.7,581535.45,-217317.15,-128220.8,120066,362016.9,457106.7
116,2038,110353.3,130540.5,264860.5,633771.4,907561.8,81325.5,118263.5,405302.5,1304675.7,1794359,-1407824.45,-1005222.1,-115860.5,301504.2,456695.15
120,2038,118402,138400.9,258119,535622.5,728255.7,124480.1,155823.5,404206.5,1078612.5,1417080.55,-1126930.55,-792243.7,-134716.5,205835,336091.6
124,2038,2799473.75,2943064.3,3729605.5,4955484,5370155.2,751960.25,896434.7,1488637,2256182.7,2789453.2,720274.4,1121150.4,2221679.5,3511614.3,4044292.55
132,2038,19060.7,20814.1,29552,43081.6,48651.1,13048.85,16524.7,30251.5,52856.2,62129.05,-33757.65,-23235.9,-599.5,18574.7,24537.85
140,2038,53661.7,68284.2,144099.5,338417.6,430697.4,68762.8,101999.4,304103.5,696653.2,795267.85,-635607.6,-530255.6,-135535,98138.4,178717.65
144,2038,160088.25,180330.7,263370,397947.7,465744.45,293839.8,397997.4,746840.5,1539338.2,1836221.15,-1539396.55,-1268001.2,-475178.5,-83061.5,7323.29999999998
148,2038,172570.65,213657,507115,1231379.6,1542080.6,51600.1,78080.5,310995.5,1123747,1579140.75,-1111387.1,-631028.6,166975,893591.8,1173611.6
152,2038,233074.55,258647.3,379500,621236.8,745095.35,139391.55,185973.1,464454.5,1178892.6,1561775.35,-1123231.25,-825629.5,-62847,282577.3,402781.4
156,2038,1069980.35,1179420.5,1590749.5,2218084.4,2419747,1188062.8,1570071.5,3794805,9509018.6,13034746.25,-11136031.6,-7761275.4,-2088031.5,41915.0000000002,412476.3
170,2038,329270.65,388187.3,770688,1558735.7,1888829.45,403283.6,528260,1148116.5,2452148.7,3338041.8,-2229555.65,-1668098.3,-377716.5,564019.5,828725.699999998
174,2038,14047.15,16197.5,28492.5,48627.1,56635.6,19755.95,23755,42352,69336.1,80645.7,-53222.55,-40236.2,-13028.5,11091.8,20287.75
175,2038,11761.8,13452,24183.5,42129.1,48766.65,7965.8,10397.7,24032,50621.1,56607.45,-33495.65,-25748.8,249.5,20189.7,27827.25
178,2038,149256.5,172051.3,291252.5,616507.4,864676.75,56114.25,75416.4,201395,519929.7,651322.05,-346095,-212236.1,99530.5,443981.8,652775.4
180,2038,478442.15,540528.6,945655,1690594,2093416.3,155717,225706.5,973034.5,4157912.9,6508171.9,-5008021.2,-3103869.3,24799.5,964704.5,1293136.9
188,2038,88348.7,99460.9,160968,253598.5,298510.5,41194,55343.2,141545.5,315110.8,411934.85,-240622.05,-167419.2,15125,138461.9,166039.25
191,2038,113241.35,123485.5,182535,282873.5,324374,60901.55,82091.4,172157,320748.6,362521.1,-179448.55,-146130.3,17677.5,140020,176891.5
192,2038,80392.65,100250.3,200149.5,432853.1,563948.55,80629.75,106029.4,239380,524567.2,696086.4,-473329.7,-340004,-35141,240361.8,366225.95
196,2038,80364.5,86119.7,119709,180999.9,201987.3,19763.05,25620.4,56232.5,113300.4,134310,-19801.7,1663.1,65462,130028.8,148261.7
203,2038,218308.75,241568.8,354310,562905.7,648102.45,71273.65,89096.4,210173,484345.1,620947.55,-303433.95,-151322.3,142870,372953.6,474211
