country_code,year,q05f,q10f,q50f,q90f,q95f,q05m,q10m,q50m,q90m,q95m,q05t,q10t,q50t,q90t,q95t
112,2023,4927844.29930194,4953815.93056006,5035090.53260076,5131862.31121922,5176273.04230372,4310688.02675353,4336287.62528407,4418076.29086314,4514663.34629822,4559287.07087532,9234262.82675235,9289796.66764272,9451027.60751088,9645454.85917712,9736586.55053541
116,2023,8877959.27290254,8941109.92243484,9116166.32856654,9284919.95460693,9352349.40452927,8515855.96051533,8584959.40103621,8757705.92012293,8934122.33789838,8996621.36196749,17393915.2048384,17525455.4095267,17873207.0108234,18220307.5508478,18351218.5555843
120,2023,14719260.9289242,14781357.3268921,14972671.2922536,15139710.8813689,15183995.3041343,14742345.3711768,14803859.7563946,15000705.8263016,15177443.2987623,15221148.970264,29461152.5758606,29589401.973805,29972261.0328483,30318584.4887784,30400653.7968226
124,2023,19611822.8050028,19693116.7882342,20021140.9498894,20349818.7529887,20486110.8514147,19386954.0860421,19488025.1421392,19822418.5351374,20192317.2552107,20323385.030242,39011276.8078239,39180460.0350596,39842024.2318405,40548423.6290053,40796860.140015
132,2023,282903.077445119,285546.968802888,292736.550462308,299345.17534724,301514.838953913,284396.641802483,287077.425331575,294455.489277575,301251.324095715,303579.00931815,567219.133357293,572503.253641791,587114.620360643,600698.686432178,605068.237369084
140,2023,2425280.70388718,2468970.07602265,2615161.78189738,2712383.07330142,2734757.77656376,2383996.94319894,2426186.94210835,2570142.33195887,2668604.99211047,2693501.57166006,4808288.86988087,4894935.48048606,5183745.01709063,5381264.64253513,5428313.65940788
144,2023,11041377.7524871,11115317.0687599,11291335.7546908,11450912.8366225,11493437.3532176,10170553.9060218,10244283.4738096,10416481.5476353,10578633.0630592,10621771.5190085,21211344.3062991,21361436.4143287,21705285.2380482,22033677.8055578,22108260.1203058
148,2023,9348389.73293281,9404167.42198893,9573542.74984121,9771543.75894891,9889769.35499717,9318965.57233404,9382790.12587887,9556905.80193951,9760025.39133576,9866789.16516499,18669919.3833485,18784950.4128207,19130246.8971648,19526837.999874,19747792.6488861
152,2023,9684251.49994793,9746450.33353495,9894970.4247141,10047863.7168944,10105490.0804456,9427981.89223923,9491195.66540796,9646578.09533168,9804616.87100186,9862925.76938892,19118200.6290716,19238596.9673224,19540455.2701098,19856850.541255,19963274.8389241
156,2023,707296615.600737,707896965.814826,711879868.274356,715021429.216378,715723913.211386,741413009.876625,742590431.022105,747078921.398758,750887561.101344,751896244.884637,1449080359.77817,1450578055.75597,1459274584.45996,1465779387.26513,1467898512.79513
170,2023,26442754.6441688,26548407.671928,26987603.8635848,27512568.898366,27707607.7826244,25488631.863557,25604947.4193421,26040960.0525197,26571248.281319,26764949.298289,51933640.0276567,52156094.5448495,53031737.3957658,54098459.6066931,54457627.7456261
174,2023,469111.459725095,471156.196439843,478792.41183899,486598.578546071,489254.562384576,477013.652124432,478967.670750541,486768.815248379,494782.341905993,497426.475947123,946435.166023084,950074.14890016,965538.819940243,981258.926689195,986954.506483826
175,2023,146388.57538015,149034.617135903,155543.921945104,161712.44262479,163738.347761476,142047.714863081,144548.935246753,151135.532321492,157326.990023379,159236.977699691,288417.676369324,293704.022734952,306666.563397233,319051.547555877,323010.29990528
178,2023,3064239.76981227,3082245.72594257,3149227.90451428,3219117.14483735,3248470.71091935,3063542.05620014,3081468.68450042,3148982.28584409,3219870.36649856,3248493.21282249,6127135.20518718,6162190.54544055,6297778.16316431,6438685.40610859,6497502.04474
180,2023,51325661.3123611,51479262.3580673,52120993.0772772,52630600.3066575,52777134.9553245,51184257.7108804,51345416.9987037,52019162.1555604,52540799.9189789,52675969.7558342,102533085.376048,102822608.64468,104139825.635759,105153296.526517,105454829.620298
188,2023,2590935.49907962,2605668.1322292,2654419.56825347,2698182.71471518,2710262.30838896,2577618.67273379,2591695.02879206,2643293.93427025,2689826.25593314,2701018.6927471,5169010.45436186,5197967.79821284,5297379.40668244,5387662.58380292,5411176.3530992
191,2023,1969231.0274841,1991583.26542072,2051747.27683161,2109348.05639043,2124227.8260385,1840123.96411488,1864080.66143883,1923033.43725179,1982025.4986919,1998963.86583087,3809269.3028082,3856028.04326622,3974480.9708402,4092589.70902907,4123559.1898862
192,2023,5565009.6348824,5589042.15527502,5672169.05543335,5763041.05174986,5797513.30082723,5466915.75046013,5493077.69329882,5583244.11974078,5674513.74694527,5714093.27422742,11031124.3386788,11084742.0106333,11255276.2650825,11437921.7221584,11511299.9840537
196,2023,618424.298421385,623197.263931374,640432.321973699,661981.439278368,670001.927905937,617504.996244167,622402.358947374,641173.979570191,663273.303300105,671525.981291357,1236245.40791126,1245399.24594312,1281498.6185782,1325389.45762702,1341943.98316388
203,2023,5341117.06270241,5368496.6707183,5443828.6880698,5520217.08197211,5545616.07760076,5191852.79337251,5222650.61583591,5301034.56638794,5380636.22561919,5407749.55225598,10532218.5432079,10592507.0570677,10745380.686977,10898330.1614422,10948476.2254122
204,2023,6763767.22011817,6802278.2444263,6902336.37276794,7015267.61524585,7047825.10457136,6764695.49779893,6805421.32024399,6907210.42475673,7024079.26206384,7056869.46217459,13527213.5662312,13609040.7154231,13810852.1504054,14040231.7743829,14107374.4803622
208,2023,2929192.27120856,2941432.83374912,2981232.8254596,3018284.02247615,3028833.88402807,2900274.30398244,2912427.09235662,2954221.58296568,2991395.75863962,3003272.13118463,5829749.10879753,5853646.69836842,5934880.9880999,6010319.86572034,6031185.54616719
214,2023,5576691.22246013,5615094.66626746,5721323.41659339,5819892.14760551,5852889.27255535,5538507.98416942,5576686.85964437,5685881.457312,5785665.18147223,5817716.28803414,11115138.7021681,11192958.9053113,11407886.9319392,11604400.1954252,11668968.3265819
218,2023,9174717.32625478,9242012.28861731,9401698.77512151,9557224.53162345,9598625.48362459,9155644.91818513,9228656.80491399,9392158.64678663,9549806.11349394,9591250.43844428,18328532.2645556,18469419.2622053,18790661.0538808,19105139.7207929,19194698.7569514
222,2023,3412598.68913298,3433739.17279558,3499361.10574991,3567893.62873407,3593239.00088118,3004241.0538308,3024072.01371687,3087258.61499189,3155321.59942657,3184256.41829407,6416454.72787127,6457344.78688212,6586840.18936764,6723467.22479504,6777639.12633361
226,2023,726823.792018838,731956.428311856,751211.633565564,777399.197628852,789620.783209551,878704.826533814,883853.0711527,904183.572644454,930930.178956098,944202.084851479,1605509.00340406,1615420.62565898,1655595.56983328,1708812.27207192,1733724.77607482
231,2023,64304393.2777742,64521630.2586588,65277522.0384669,66087792.4049232,66305528.6041377,64411091.1159652,64605378.8181119,65406497.3568842,66239193.6595775,66443142.8929567,128731135.881562,129108214.351315,130678451.189499,132318102.447257,132740375.826834
232,2023,1732797.27142518,1762371.69988846,1880630.58038708,1975391.91440234,2006908.79301751,1742405.96576347,1772504.9043711,1892950.11887034,1989860.77542342,2021966.8156391,3474446.28150836,3535560.45624758,3773045.81490093,3964723.86575523,4029201.80354402
233,2023,664650.153128928,672519.379893497,691783.341067692,707901.958376158,713623.144263101,601146.928190972,609415.579722182,629787.46934779,646055.632637002,652597.294853443,1265723.80338506,1281334.17642982,1321690.55758611,1354024.3869618,1366698.44593504
242,2023,427424.994593354,434240.615594163,452594.405018551,465337.011766054,469271.339792421,435768.633235405,443470.137516011,462742.72017687,476226.469267612,480455.921180476,863187.603193687,877728.797140991,915268.650696799,941438.892021329,949870.277023694
246,2023,2779092.58722344,2788371.52481102,2820015.8756344,2852979.89172597,2861929.63772352,2702617.61971385,2713476.99490701,2747479.30972215,2782792.0706873,2793378.29206503,5480830.74347964,5501549.64833292,5567327.34227336,5633233.14521879,5655641.14940992
250,2023,33917772.6139861,34012443.8359681,34293432.1550571,34631269.4525812,34731764.6341607,31956103.4468017,32037589.9104709,32336507.5210202,32679881.9697076,32786779.3681765,65871720.8072831,66054390.3858293,66635530.5969367,67314782.8711111,67519709.8849895
254,2023,162643.042152896,164359.070542854,170429.192612241,177225.348653425,179906.230066819,159732.23917972,161510.209785554,167539.18090782,174360.309522474,177058.507847875,322374.692119354,325845.014709215,337962.173474097,351532.30161981,356857.989960486
258,2023,137004.113292297,138616.534089138,142534.867007035,145473.239340166,146423.788510689,139632.066743927,141383.544674912,145409.915144513,148455.258436929,149391.630048081,276671.948238237,279963.370478406,287945.095658978,293902.317486648,295901.741802296
262,2023,489112.88288098,493695.877527332,505405.2432445,523517.484298952,531431.239048321,533333.919042265,538452.426699486,551501.972605672,569653.930373294,576721.409372517,1022533.38313457,1032300.57789407,1056895.35004749,1092996.99121003,1107955.72172799
266,2023,1199216.71099997,1210837.64676241,1248740.39697145,1290660.60279576,1304666.49676849,1236714.64995554,1249072.52511425,1286855.18804691,1329060.82096085,1343436.46487618,2436909.48493535,2459223.30905433,2535438.80356804,2619893.29020425,2648211.54570967
268,2023,1986924.72076575,2010922.004308,2062209.28175062,2104568.55540499,2117329.90802548,1799930.21565585,1824678.21406237,1878160.28383413,1923357.57834103,1936705.84736444,3785897.53152241,3836303.07921125,3939763.31326261,4027729.18146682,4053785.31528296
270,2023,1348365.84738919,1354943.31238311,1381025.51504259,1410340.93792522,1419209.19514732,1330352.39292153,1336091.43027466,1362473.648477,1391963.58340153,1400807.31625881,2679008.56548598,2690929.72562697,2743806.38606046,2801881.8277683,2820004.05824839
275,2023,2671250.63013316,2709000.22134917,2854979.27102766,2999020.27967496,3047674.88758072,2781519.45535954,2825790.99569005,2984068.8156939,3138709.38830328,3182400.5029122,5451113.44663026,5538886.64150094,5840175.28665194,6137577.94466137,6233579.89679935
276,2023,41255113.9925519,41655343.4783241,42616342.2964554,43367225.363801,43559751.1990788,40351604.2050394,40812394.2166544,41837777.8052007,42620404.8376339,42821362.7394862,81615409.7453883,82457964.3309084,84467706.6167769,86006879.6320091,86395865.0976633
288,2023,16676743.2184828,16741629.8933176,16950060.6421847,17170758.0061884,17214071.2830476,17130607.289714,17198719.6593333,17423248.0666947,17657295.6439022,17709299.1366834,33827337.7219442,33939056.8047612,34374404.6592348,34823460.639863,34918942.4080744
296,2023,60632.1184897796,61969.8905603708,64639.884469611,66062.5452237585,66373.584686477,58596.8677187913,59914.7916212294,62620.6378879338,64056.0674446589,64392.0293866826,119170.389071181,121898.809003153,127244.223669838,130126.465678557,130782.219927859
300,2023,4942314.90727932,5021832.00870569,5193389.97261415,5329889.95341562,5376110.13734838,4753612.01703189,4828689.06181099,5013797.08506145,5158390.35510369,5202357.82171817,9696713.87925052,9848810.63581222,10206794.4383324,10488288.9984483,10576200.6883115
308,2023,55607.6124570014,56180.2899936613,57943.5422510256,60547.1445494109,61369.0708567878,56142.5192048399,56720.6200083567,58523.8480764858,61188.4880431343,62042.6863309893,111730.517338957,112893.081379749,116464.465521832,121707.69809631,123392.550871841
312,2023,204605.211344133,207818.186592144,216196.562735321,221743.918537869,223673.550372734,174215.703425296,177257.237847188,185265.769027688,190487.265651043,192568.736041566,378732.960757878,384969.969428671,401403.929311646,412233.561002088,416346.057372347
316,2023,82331.6575060789,83631.3140369013,88384.3737517783,94031.788880904,96595.9546436559,83323.5184865901,84618.6017305865,89603.9779635054,95430.7970562863,98301.9906402694,165750.223391341,168272.756328022,177998.920704275,189449.317361693,194946.660287615
320,2023,9720757.89762409,9755174.98785793,9889873.61099214,10028627.3209895,10065985.8953408,9454671.0492877,9492309.98221172,9626974.46579996,9776234.69051636,9815559.33337116,19175288.9582076,19246608.939898,19518599.8373013,19804553.8191222,19878589.0854454
324,2023,7556315.86212306,7590330.77378218,7682773.55355555,7779286.02995755,7803862.34352537,7183912.77563969,7221299.87301894,7315515.89756957,7413419.8993617,7439304.61243935,14742982.6085974,14810570.4048477,14998673.3369103,15191527.6389724,15243213.9367897
328,2023,371262.48986045,377679.018419579,397524.953491432,419599.134319901,428083.688201803,371697.911333746,378378.064877732,398921.832122879,421543.974730722,429826.014799035,743011.86453096,756413.268488083,796608.42908039,841477.564208528,857886.21173123
332,2023,5964798.63297585,5986067.60427584,6066544.3035115,6159566.72297011,6195240.53230579,5818823.8751274,5843454.07246142,5926664.04180402,6020291.96193533,6058824.71011743,11786858.744889,11829463.2343854,11993305.6439527,12177826.7012104,12249262.3122078
340,2023,5218307.04997772,5242948.18902073,5316877.0521272,5399526.11531845,5421209.5122728,5213294.24675081,5238480.26774992,5314753.04501125,5399661.03167031,5422252.05473168,10433714.0274024,10482465.8309226,10631671.245835,10798104.9333819,10843902.1701458
344,2023,3960695.81872472,4017774.54658765,4241922.66604403,4548398.40578552,4675164.23478813,3402372.50072163,3451934.0539496,3684090.65952042,4013551.02840781,4144636.54618968,7358066.57992288,7474723.32671137,7926733.6948553,8554592.73790829,8824504.9748095
348,2023,4879665.24172913,4906414.25262293,4978944.66449711,5049157.99935303,5072653.53545347,4438799.61301554,4469321.97137331,4543618.11425414,4614110.5633756,4643148.73312515,9318503.73836973,9377916.91286308,9522405.50378098,9659653.0060093,9716242.04549127
352,2023,159457.324461263,161850.32781046,170679.563204416,176705.425673688,178398.754040248,160611.649184127,163204.300429052,172329.681768384,178675.005125525,180377.26187988,320078.695964993,325066.409994421,343038.162804273,355404.085342675,358723.299499536
356,2023,685859393.549482,687365976.56367,694097452.766277,700132951.421244,702013873.993431,740569702.220578,742668612.130724,750121343.906555,756938295.92038,759120287.569967,1426605596.07065,1430090755.43724,1444222044.06321,1456988729.99318,1461276754.8049
360,2023,141136824.602997,141543786.469593,142872568.165331,143931156.820742,144278994.119941,142666838.658693,143096768.91593,144564971.244126,145717250.759663,146071107.130791,283868729.532208,284693760.79667,287417837.57627,289648153.806011,290350899.568746
364,2023,43409580.0935508,43564668.1519042,44029581.6494149,44494875.6263791,44653530.0229091,44137528.6647829,44285250.3262977,44779301.2088161,45273584.511017,45456213.4432005,87563058.8864486,87858983.5750983,88807480.7222666,89767470.2209875,90093824.501068
368,2023,21755033.6151951,21885691.0395112,22226884.1283704,22545521.2328381,22663656.3762763,22314704.9572341,22446892.0579051,22808060.615749,23150684.1051387,23260052.4195368,44069800.1056443,44334572.4415829,45039084.3284487,45708231.4616906,45923708.7958131
372,2023,2516546.82937986,2548436.17852505,2623127.64658151,2710841.97083284,2749841.87975791,2483876.13925764,2516837.25323511,2594870.75370447,2685701.52555004,2723701.3625269,5000981.28435415,5065897.17432347,5218011.89835453,5396221.77968111,5473910.00845362
376,2023,4648374.35372193,4688413.11539355,4796270.24571413,4902877.58281831,4936056.94930722,4636164.96870814,4677599.01493871,4787696.8353265,4899593.76361148,4932524.07626612,9284488.25871956,9366460.86524688,9584688.00479115,9801783.43709911,9868985.31625761
380,2023,30113262.5510733,30315335.8173445,30868629.6090662,31305410.5506723,31424209.8144622,28664708.6654878,28905491.5703627,29473244.9405994,29917539.8229176,30043607.5032573,58770117.5476346,59224466.9610271,60335729.2453262,61220558.162423,61459700.7890078
384,2023,14494686.2020291,14585824.723136,14841890.083141,15062333.5284683,15125102.1335241,14679219.8041842,14766965.4717194,15028884.816157,15251824.5840621,15310703.5614032,29177525.6592845,29351908.4795438,29868406.1143721,30317879.1351903,30431913.386528
388,2023,1478162.74938687,1489405.97189066,1522621.82111277,1566251.21174572,1581922.81013497,1453495.52369472,1465109.05541987,1499390.34526415,1544026.29090028,1560935.98983097,2931426.0131651,2954488.08143778,3021834.41128254,3110260.36619316,3142652.20514278
392,2023,63129416.3610692,63219919.2675669,63574122.7792181,63916940.3004622,64041946.8757745,60068092.0620387,60169996.7727762,60538529.2385758,60933722.2607867,61041311.6946408,123204649.711799,123393634.64051,124102324.072956,124837041.087715,125098557.563919
398,2023,9520860.95209367,9683563.44319989,10036443.936076,10362678.5436396,10463689.0523958,8964590.04443441,9123167.25824588,9485934.19086293,9817602.28970061,9916838.28514216,18485384.577772,18807254.9963214,19519732.2186003,20179811.3531438,20381158.4274356
400,2023,5359252.86090091,5448155.34740122,5715837.13508275,5997522.76997169,6100209.87133156,5550923.89777053,5628481.3500157,5910869.62870888,6214020.76043492,6310114.55359657,10899586.628118,11073075.4006286,11623094.6576241,12213659.9687694,12410791.2446213
404,2023,29714512.7290812,29838490.6049062,30250025.1110723,30675407.4228376,30825325.2246276,29320453.4453854,29460827.9070961,29875489.3806573,30313910.4257785,30466611.7210741,59012395.853909,59294782.5235634,60123172.3936831,60986499.289017,61297651.7739853
408,2023,13273526.9365982,13299996.6561756,13379441.7958423,13483823.7636839,13516580.2523934,12730315.023853,12751704.3051126,12847328.2523505,12951675.5366345,12984722.3028105,26008613.7111835,26051127.2768495,26224279.6064986,26428592.0624865,26490203.7619651
410,2023,25128225.0466459,25262144.5510237,25619587.3059416,25889170.6704013,25976866.0566461,25051608.227921,25202809.7512303,25581019.1555205,25881146.3542427,25965889.1664312,50186130.6896002,50475032.6298273,51193509.0957643,51771316.4313593,51937310.1439423
414,2023,1687296.63722631,1737838.73535847,1892088.31085587,2087759.59023192,2168254.72938192,2306825.3430818,2424477.80862392,2730392.66309131,2969911.58601351,3058889.85418738,4011091.44370353,4168674.31635765,4621686.35748269,5054431.14889676,5225167.67049921
417,2023,3448894.35601007,3476811.9400938,3549064.91827272,3615235.17727122,3635556.84764914,3374304.15098009,3400404.004366,3475122.40719135,3539703.62846502,3564758.94807156,6822944.05493846,6877769.18343365,7025430.41461735,7155752.65622879,7201441.52179069
418,2023,3752235.03121625,3785225.91893612,3857683.95450224,3937472.69893144,3969328.49205302,3781618.27161864,3812967.32632241,3888616.68024222,3972106.1473325,4002300.91889671,7533914.28436906,7598848.09219817,7747412.62455425,7910058.40921345,7970182.47383869
422,2023,3437261.97331492,3493615.13508687,3685222.9483811,3901024.41767652,3966351.98626251,3515775.1609396,3567931.32596153,3761620.15560955,3982839.04845776,4043462.25432544,6955091.6961862,7061298.49125372,7445382.05985101,7888136.04058122,8011505.21120466
426,2023,1078644.89213772,1093055.59318399,1129862.94118698,1159571.38839908,1167798.11688682,1045724.36784984,1060874.65649044,1099100.78894991,1129520.00505567,1137110.98686221,2124512.16267719,2153564.59995905,2229184.83633322,2289564.90821844,2305008.85392405
428,2023,932883.39335146,941907.001114972,970621.897974666,996646.055718255,1005379.43960226,795960.203344251,805110.512816012,833985.96114825,860578.218234717,870048.081836077,1729005.30105837,1747255.78229907,1804676.95127661,1857427.31875874,1875255.98969686
430,2023,2749457.28957383,2776445.35537625,2841516.5206437,2892135.25464053,2907702.32767097,2787653.36926303,2813506.55585124,2882137.17601403,2932904.21405091,2947679.71210342,5536966.92053933,5590468.08978955,5723754.99856524,5825097.6505132,5854963.87494056
434,2023,3499631.13351,3536020.12474987,3626655.94307164,3695727.48273094,3716177.8403123,3561572.19381694,3600898.90675976,3692352.54600036,3765361.09689602,3788741.57348854,7058386.77052572,7139185.58805493,7319057.8889326,7460630.97111172,7503863.84296305
440,2023,1305431.85474185,1315871.00002667,1352725.26360149,1390199.9609114,1399819.59814841,1107789.83082001,1116813.22246743,1155405.61083454,1192645.88225347,1202998.65848605,2413834.76598075,2432962.24809333,2508887.8419911,2583539.09094805,2603060.44324216
442,2023,295666.372199998,301808.678831362,320164.516883565,338940.014601722,345772.169637418,301654.223743202,307689.356033592,326777.307539397,346454.909327215,353247.8811258,597299.225705923,609703.167124669,646917.755459694,685478.816992578,698807.411844278
446,2023,333933.15909675,339504.572073342,362015.794785557,408223.061898461,433261.371076571,309885.006036393,315576.614781245,340067.411444265,390684.463702063,419256.946206817,643778.76726877,655525.757894025,702193.16078155,799103.013720979,852518.317283388
450,2023,15550041.4823158,15615471.3444191,15776722.1930581,15923002.8265512,15969074.6427487,15487798.1359626,15551992.5972967,15723254.5771566,15866030.3826529,15912957.3995808,31038055.017715,31171682.6167487,31502086.003863,31787753.8915072,31877109.6811726
454,2023,10783625.9502575,10844192.9616606,11032724.6256111,11209456.2069832,11256677.0352872,10496727.2164359,10561435.1868399,10751564.8083854,10931316.3122544,10979744.7326579,21281814.2556087,21408207.7741572,21784112.9176219,22139727.0100858,22237449.7372532
458,2023,16406173.5747072,16496260.4575067,16794151.8294024,17120637.4546906,17222389.4794594,17204278.7406483,17311062.9383103,17628942.4173032,17965393.7521999,18073958.0570093,33607170.0739902,33796159.6795293,34423130.3158069,35087666.2685766,35297697.4591876
462,2023,211810.769934358,212762.88438552,217965.390070103,229503.869312257,235124.58055848,353778.972407081,355392.476444469,361275.652258108,373393.145441756,379236.717677286,565689.616429921,568183.203256839,579131.587195431,602949.668865066,614904.8879996
466,2023,11328270.8023468,11395740.6808161,11577818.2172069,11746273.735641,11792215.820083,11431688.5939228,11506552.1300311,11690305.2630631,11865581.3918655,11914205.0520414,22758836.86906,22905209.8437743,23268142.4590003,23610234.9357717,23708134.0675938
470,2023,198915.277677563,202555.707050281,213935.186884573,225600.784048566,229806.414187998,199292.617150915,203379.551188221,215415.372546751,227648.683208972,231976.935634011,398018.51825713,405957.937959792,429289.207055943,453202.937936001,461811.335818082
474,2023,193594.096033831,195432.043496196,200785.76734247,205905.409585994,207352.042561474,163829.559947285,165836.236217369,170922.859567002,175786.500864328,177328.391955048,357562.484139685,361218.143479627,371731.759634425,381653.133146196,384794.821573724
478,2023,2556533.48491707,2569012.68912203,2607324.17670648,2640360.89797985,2651261.51257301,2584236.61672783,2596861.25073995,2636678.8952798,2671628.80072199,2683862.35896368,5139869.54468931,5166154.95001303,5243913.07006488,5311385.37903895,5334591.94088312
