year,q05pct,q10pct,q50pct,q90pct,q95pct,q05cnt,q10cnt,q50cnt,q90cnt,q95cnt
2023,1.229511388436,1.24688960194715,1.33133872793464,1.42337056918267,1.44851003513027,100507408.8,101660803.8,108714691.5,116025686.8,118373488.7
2028,1.23135644461235,1.26138020248045,1.3818677909872,1.52169206022695,1.57157559308101,104830330.35,107645593.5,117696094.5,129631156,134085766.5
2033,1.24159731480243,1.28893417105228,1.42890356976886,1.6162246186775,1.66899535118029,109606970.2,113988133.5,126582235.5,142886956.7,147561303
2038,1.25165482501964,1.29491401767605,1.47538633136134,1.68966554773638,1.77383932529031,114004969.1,118308317.6,134469021,154688804,162377182.35
2043,1.26428366569004,1.31025861909354,1.51124808877186,1.77089851409324,1.86869863205724,118734751.1,123190049.2,142411870.5,167473222,175538537.35
